iter	Passed	Remaining
0	139	139635
1	141	70553
2	142	47492
3	144	35959
4	145	29043
5	147	24431
6	149	21205
7	151	18789
8	153	16876
9	155	15352
10	157	14116
11	159	13091
12	160	12193
13	162	11431
14	165	10867
15	167	10285
16	168	9757
17	170	9286
18	171	8870
19	173	8484
20	174	8134
21	175	7818
22	177	7527
23	179	7308
24	181	7059
25	182	6826
26	183	6616
27	184	6417
28	186	6230
29	187	6060
30	188	5902
31	190	5749
32	191	5603
33	192	5474
34	194	5359
35	195	5240
36	197	5129
37	198	5021
38	199	4917
39	200	4819
40	202	4726
41	203	4636
42	204	4554
43	205	4473
44	207	4403
45	208	4331
46	210	4268
47	211	4200
48	213	4135
49	214	4074
50	215	4014
51	217	3956
52	218	3899
53	219	3845
54	220	3794
55	222	3753
56	224	3709
57	225	3663
58	226	3616
59	227	3570
60	229	3528
61	230	3486
62	231	3445
63	232	3405
64	234	3366
65	235	3338
66	237	3306
67	238	3272
68	240	3239
69	241	3213
70	243	3181
71	244	3149
72	245	3118
73	246	3088
74	247	3058
75	249	3029
76	251	3014
77	252	2988
78	254	2965
79	255	2940
80	256	2914
81	258	2889
82	258	2858
83	259	2834
84	261	2812
85	262	2788
86	263	2765
87	265	2746
88	266	2727
89	267	2706
90	269	2687
91	270	2667
92	271	2647
93	272	2629
94	274	2610
95	275	2592
96	276	2573
97	277	2555
98	278	2538
99	281	2529
100	282	2516
101	283	2499
102	285	2482
103	286	2466
104	287	2449
105	288	2433
106	289	2417
107	290	2402
108	292	2387
109	293	2373
110	295	2367
111	296	2354
112	298	2340
113	299	2327
114	300	2313
115	301	2300
116	302	2286
117	304	2273
118	305	2260
119	306	2248
120	307	2236
121	308	2222
122	310	2216
123	312	2204
124	313	2192
125	314	2181
126	315	2168
127	316	2157
128	317	2146
129	319	2135
130	320	2125
131	321	2115
132	323	2105
133	325	2104
134	326	2094
135	328	2083
136	329	2074
137	330	2064
138	331	2055
139	332	2045
140	334	2036
141	335	2024
142	336	2015
143	337	2006
144	339	2003
145	341	1996
146	342	1988
147	344	1980
148	345	1972
149	346	1965
150	347	1956
151	349	1948
152	350	1940
153	351	1932
154	353	1924
155	355	1922
156	356	1914
157	357	1907
158	359	1901
159	361	1895
160	361	1885
161	363	1880
162	365	1875
163	367	1872
164	370	1875
165	372	1870
166	373	1863
167	374	1856
168	376	1849
169	377	1842
170	378	1835
171	379	1828
